RUN	viade.Simulation2	simulation2	1588099105164	Miscelanea, ramp up 50 users in 60 seconds	3.3.1
REQUEST	10		request_6	1588099126243	1588099127649	OK	 
REQUEST	14		request_2 Redirect 1	1588099127210	1588099127663	OK	 
REQUEST	10		request_8	1588099126243	1588099127669	OK	 
REQUEST	7		request_17	1588099127211	1588099127740	OK	 
REQUEST	18		auth-buttons.js	1588099127209	1588099127759	OK	 
REQUEST	18		solid.css	1588099127208	1588099127760	OK	 
REQUEST	18		bootstrap.min.css	1588099127208	1588099127761	OK	 
REQUEST	16		request_1	1588099127392	1588099127762	OK	 
REQUEST	8		request_10	1588099126724	1588099127838	OK	 
REQUEST	14		solid.css	1588099127664	1588099127894	OK	 
REQUEST	14		bootstrap.min.css	1588099127664	1588099128034	OK	 
REQUEST	8		request_15	1588099126725	1588099128043	OK	 
REQUEST	8		request_13	1588099126725	1588099128044	OK	 
USER	Simulation2	20	START	1588099128082	1588099128082
REQUEST	18		solid-auth-client.bundle.js	1588099127209	1588099128110	OK	 
REQUEST	8		request_12	1588099126725	1588099128157	OK	 
REQUEST	10		mashlib.min.js	1588099126242	1588099128249	OK	 
REQUEST	13		request_3 Redirect 2	1588099127540	1588099128255	OK	 
REQUEST	8		request_14	1588099126725	1588099128390	OK	 
REQUEST	15		request_2	1588099127885	1588099128463	OK	 
REQUEST	8		request_16	1588099126827	1588099128523	OK	 
REQUEST	17		request_1	1588099127864	1588099128549	OK	 
